company_code,plant,plant_description,product_code_or_active_code_in_supersession_chain,ean_code,product_mm_status,slow_moving_calculated_qty,obsolete_calculated_no_demand_stock_qty,obsolete_calculated_second_life_or_close_to_expiry_stock_qty
504A,OAAE,AFM FR - VENNECY,AA533100,30152540,50,0,0,38
504A,OAAE,AFM FR - VENNECY,AA532800,30152540,80,0,0,11
504A,OAAE,AFM FR - VENNECY,AA533100,30152540,50,650,0,79
504A,OAAE,AFM FR - VENNECY,AA532800,30152540,80,0,1045,42
504A,OAAE,AFM FR - VENNECY,AA533100,30152540,50,0,0,47
504A,OAAE,AFM FR - VENNECY,AA532800,30152540,80,0,1463,23
504A,OAAE,AFM FR - VENNECY,AA532800,30152540,80,0,0,28
504A,OAAE,AFM FR - VENNECY,AA533100,30152540,50,0,0,70
504A,OAAE,AFM FR - VENNECY,AA533100,30152540,50,0,0,34
504A,OAAE,AFM FR - VENNECY,AA532800,30152540,80,0,361,11
504A,OAAE,AFM FR - VENNECY,AA533100,30152540,50,7083,0,174
504A,OAAE,AFM FR - VENNECY,AA532800,30152540,80,0,373,11
504A,OAAE,AFM FR - VENNECY,AA533100,30152540,50,0,0,179
504A,OAAE,AFM FR - VENNECY,AA532800,30152540,80,0,214,11
504A,OAAG,AFM FR - BSL ecom,AA533100,30152540,50,0,149,0
504A,OAAG,AFM FR - BSL ecom,AA533100,30152540,50,0,59,0
504A,OAAG,AFM FR - BSL ecom,AA533100,30152540,50,0,99,0
504A,OAAG,AFM FR - BSL ecom,AA533100,30152540,50,0,100,0
504A,OAAG,AFM FR - BSL ecom,AA533100,30152540,50,0,150,0
504A,OAAG,AFM FR - BSL ecom,AA533100,30152540,60,0,272,0
504A,OAAG,AFM FR - BSL ecom,AA533100,30152540,50,0,221,0
504A,OAAE,AFM FR - VENNECY,B3470800,30161467,80,0,0,60
504A,OAAE,AFM FR - VENNECY,B3471101,30161467,50,8320,0,578
504A,OAAE,AFM FR - VENNECY,B3471101,30161467,50,11901,0,755
504A,OAAE,AFM FR - VENNECY,B3470800,30161467,80,0,0,60
504A,OAAE,AFM FR - VENNECY,B3471101,30161467,50,26458,0,947
504A,OAAE,AFM FR - VENNECY,B3470800,30161467,80,0,1719,60
504A,OAAE,AFM FR - VENNECY,B3471101,30161467,50,27468,0,945
504A,OAAE,AFM FR - VENNECY,B3470800,30161467,80,0,2004,60
504A,OAAE,AFM FR - VENNECY,B3471100,30161467,65,29342,0,62
504A,OAAE,AFM FR - VENNECY,B3470800,30161467,80,0,796,60
504A,OAAE,AFM FR - VENNECY,B3471101,30161467,50,58658,0,276
504A,OAAE,AFM FR - VENNECY,B3470800,30161467,80,0,2465,60
504A,OAAE,AFM FR - VENNECY,B3471100,30161467,65,30133,0,372
504A,OAAE,AFM FR - VENNECY,B3470800,30161467,80,0,509,60
504A,OAAG,AFM FR - BSL ecom,B3471100,30161467,60,0,53,0
504A,OAAG,AFM FR - BSL ecom,B3471100,30161467,60,0,24,0
504A,OAAG,AFM FR - BSL ecom,B3471100,30161467,60,0,56,0
504A,OAAG,AFM FR - BSL ecom,B3471100,30161467,60,0,24,0
504A,OAAG,AFM FR - BSL ecom,B3471100,30161467,60,0,51,0
504A,OAAG,AFM FR - BSL ecom,B3471100,30161467,60,0,91,0
504A,OAAG,AFM FR - BSL ecom,B3471100,30161467,60,0,41,0
504A,OAAE,AFM FR - VENNECY,B2118802,3600530847914,80,0,312,22
504A,OAAE,AFM FR - VENNECY,B2118802,3600530847914,80,0,1101,88
504A,OAAE,AFM FR - VENNECY,B2118802,3600530847914,80,0,6384,14
504A,OAAE,AFM FR - VENNECY,B2118802,3600530847914,80,0,327,112
504A,OAAE,AFM FR - VENNECY,B2118802,3600530847914,80,0,6261,13
504A,OAAE,AFM FR - VENNECY,B2118802,3600530847914,50,0,11368,61
504A,OAAE,AFM FR - VENNECY,B2118802,3600530847914,80,0,7919,104
504A,OAAG,AFM FR - BSL ecom,B2118800,3600530847914,95,0,0,3
504A,OAAG,AFM FR - BSL ecom,B2118800,3600530847914,95,0,0,3
504A,OAAG,AFM FR - BSL ecom,B2118800,3600530847914,60,0,0,1
504A,OAAG,AFM FR - BSL ecom,B2118800,3600530847914,95,0,0,3
504A,OAAE,AFM FR - VENNECY,B2458803,3600531089795,80,0,164,144
504A,OAAE,AFM FR - VENNECY,B2458803,3600531089795,80,0,1798,210
504A,OAAE,AFM FR - VENNECY,B2458803,3600531089795,80,0,9947,97
504A,OAAE,AFM FR - VENNECY,B2458803,3600531089795,80,0,164,277
504A,OAAE,AFM FR - VENNECY,B2458803,3600531089795,80,0,8588,97
504A,OAAE,AFM FR - VENNECY,B2458803,3600531089795,50,0,8814,227
504A,OAAE,AFM FR - VENNECY,YFR10098,3600531089795,90,0,3122,0
504A,OAAE,AFM FR - VENNECY,B2458803,3600531089795,80,0,8602,360
504A,OAAG,AFM FR - BSL ecom,B2458801,3600531089795,95,0,0,3
504A,OAAG,AFM FR - BSL ecom,B2458801,3600531089795,95,0,0,3
504A,OAAG,AFM FR - BSL ecom,B2458801,3600531089795,60,0,0,1
504A,OAAG,AFM FR - BSL ecom,B2458801,3600531089795,95,0,0,3
504A,OAAE,AFM FR - VENNECY,K2387705,800897085605,50,0,2376,0
504A,OAAE,AFM FR - VENNECY,K2387704,800897085605,90,0,1158,0
504A,OAAE,AFM FR - VENNECY,K2387701,800897085605,80,0,1043,0
504A,OAAE,AFM FR - VENNECY,K2387704,800897085605,80,0,407,0
504A,OAAE,AFM FR - VENNECY,K2387701,800897085605,80,0,1542,0
504A,OAAE,AFM FR - VENNECY,K2387704,800897085605,80,0,1609,0
504A,OAAE,AFM FR - VENNECY,K2387701,800897085605,90,0,1385,0
504A,OAAE,AFM FR - VENNECY,K2387704,800897085605,80,0,27,0
504A,OAAE,AFM FR - VENNECY,K2387705,800897085605,50,0,2840,0
504A,OAAE,AFM FR - VENNECY,K2387701,800897085605,90,0,1610,0
504A,OAAG,AFM FR - BSL ecom,K2387705,800897085605,50,0,794,0
504A,OAAG,AFM FR - BSL ecom,K2387705,800897085605,50,0,662,0
504A,OAAG,AFM FR - BSL ecom,K2387705,800897085605,50,0,650,0
504A,OAAG,AFM FR - BSL ecom,K2387705,800897085605,50,0,1039,0
504A,OAAG,AFM FR - BSL ecom,K2387705,800897085605,50,0,1230,0
504A,OAAG,AFM FR - BSL ecom,K2387705,800897085605,60,0,4130,0
504A,OAAG,AFM FR - BSL ecom,K2387705,800897085605,50,0,2803,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,80,0,171,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,80,0,171,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,80,0,789,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,80,0,978,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,70,0,6,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,70,0,542,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,70,0,6,0
504A,OAAE,AFM FR - VENNECY,K3445200,800897182618,80,0,11,0
504A,OAAE,AFM FR - VENNECY,K3445200,800897182618,80,0,11,0
504A,OAAE,AFM FR - VENNECY,K3445200,800897182618,80,0,714,0
504A,OAAE,AFM FR - VENNECY,K3445200,800897182618,80,0,551,0
504A,OAAE,AFM FR - VENNECY,K3445202,800897182618,80,0,222,0
504A,OAAE,AFM FR - VENNECY,K3445200,800897182618,90,0,11,0
504A,OAAE,AFM FR - VENNECY,K3445202,800897182618,70,0,760,0
504A,OAAE,AFM FR - VENNECY,K3445202,800897182618,70,0,78,0
504A,OAAE,AFM FR - VENNECY,K3445200,800897182618,90,0,11,0
504A,OAAE,AFM FR - VENNECY,K3611200,800897192303,80,0,82,0
504A,OAAE,AFM FR - VENNECY,K3611200,800897192303,80,0,97,0
504A,OAAE,AFM FR - VENNECY,K3611200,800897192303,80,0,244,0
504A,OAAE,AFM FR - VENNECY,K3611200,800897192303,80,0,367,0
504A,OAAE,AFM FR - VENNECY,K3611201,800897192303,70,0,998,0
504A,OAAE,AFM FR - VENNECY,K3611200,800897192303,70,0,187,0
504A,OAAG,AFM FR - BSL ecom,K3611201,800897192303,60,0,180,0
504A,OAAG,AFM FR - BSL ecom,K3611201,800897192303,70,0,113,0
504A,OAAE,AFM FR - VENNECY,K5230200,800897225254,50,0,66,0
504A,OAAE,AFM FR - VENNECY,K5230200,800897225254,60,0,66,0
504A,OAAE,AFM FR - VENNECY,K5230200,800897225254,60,0,999,0
504A,OAAE,AFM FR - VENNECY,K5230200,800897225254,60,0,894,0
504A,OAAE,AFM FR - VENNECY,K5230200,800897225254,50,0,1164,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,60,0,212,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,60,0,70,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,60,0,196,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,60,0,144,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,60,0,9,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,50,0,62,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,60,0,51,0
504A,OAAE,AFM FR - VENNECY,K4262104,800897846008,50,0,374,0
504A,OAAE,AFM FR - VENNECY,K4262104,800897846008,50,0,734,0
504A,OAAE,AFM FR - VENNECY,K4262104,800897846008,50,0,117,0
504A,OAAE,AFM FR - VENNECY,K4262104,800897846008,50,0,1260,0
504A,OAAE,AFM FR - VENNECY,K4262104,800897846008,50,0,45,0